Overall,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle
87,75,63,75,84,47,78,71,53,82,81,64,68,63,86,64,81,75,88,81,70,85,88,70,76,90,85,86,88,86
87,85,88,81,85,84,77,81,59,79,84,66,71,72,94,71,78,77,86,66,82,62,58,96,86,70,84,47,57,46
87,82,60,57,90,64,91,85,64,89,92,65,55,90,87,93,60,66,75,53,58,89,85,78,89,64,94,78,82,84
87,92,62,69,87,63,78,87,85,91,86,76,76,73,83,73,82,66,89,66,75,71,83,78,90,55,82,79,83,80
87,88,55,67,82,32,81,82,71,76,83,79,81,75,85,74,76,62,95,65,65,85,84,77,80,55,83,83,84,82
87,38,25,84,71,14,70,53,28,67,72,74,88,51,83,34,67,82,70,94,20,83,85,35,60,33,82,90,89,86
87,75,82,86,86,71,84,76,75,85,86,78,78,76,87,73,85,80,86,88,86,82,86,85,84,60,82,74,84,78
87,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53,90,76,76,77
86,78,68,54,91,82,89,85,77,89,92,69,55,90,84,90,75,86,76,60,73,80,82,75,88,75,90,68,74,74
86,55,91,81,79,85,79,70,58,57,81,84,86,75,87,84,86,82,78,74,80,73,40,90,71,88,76,34,33,32
86,73,88,87,78,79,82,78,66,70,78,72,86,59,86,52,87,74,67,95,75,71,27,86,75,88,82,30,41,30
86,83,63,77,89,67,77,77,85,80,85,79,79,76,88,78,82,81,74,78,78,78,87,73,78,79,85,89,84,83
86,79,82,46,83,67,86,79,72,67,84,94,86,94,91,93,78,57,79,65,80,59,30,91,80,70,77,47,53,47
86,81,84,56,83,76,91,85,78,75,90,84,77,92,83,88,84,56,75,57,83,48,39,83,83,80,83,45,31,22
86,82,83,58,86,88,90,89,88,79,93,84,76,88,79,90,84,74,68,60,89,43,42,82,91,84,79,32,41,39
86,60,40,82,81,61,67,62,61,82,79,45,52,62,83,66,71,88,66,80,65,76,89,59,71,60,86,89,86,84
86,85,83,64,88,87,79,87,85,88,84,75,69,78,91,79,88,71,92,66,88,80,64,86,91,90,79,66,73,65
86,86,83,61,92,72,81,88,90,90,86,52,49,63,79,72,81,49,76,70,88,58,80,81,90,88,85,70,70,69
86,58,45,84,83,40,63,61,69,81,78,55,65,57,87,55,68,80,67,84,47,81,87,54,65,44,84,86,87,86
86,81,76,61,80,78,88,83,70,74,87,94,90,92,86,84,83,73,69,66,73,35,23,84,81,70,78,29,27,21
86,73,69,70,85,65,79,79,74,84,84,70,68,79,83,84,80,70,94,68,84,86,84,67,83,69,82,80,84,82
86,79,73,53,86,80,80,79,67,85,87,80,78,90,88,90,77,78,94,73,79,84,83,81,86,73,86,79,79,81
86,58,88,84,76,90,84,78,54,73,86,86,80,86,89,89,80,89,80,84,76,90,45,86,80,74,86,55,31,44
86,40,42,81,72,40,67,34,30,73,72,75,81,54,86,56,50,85,81,89,30,87,86,30,46,56,87,91,90,82
86,81,86,61,85,70,89,82,80,80,88,87,89,88,85,90,79,59,78,64,78,59,67,86,85,67,81,62,69,59
86,72,84,50,75,72,92,77,62,73,89,95,95,94,82,83,76,75,84,62,76,58,26,82,75,65,79,32,25,18
86,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59,84,78,79,74
85,48,30,84,79,46,57,33,38,77,64,60,80,34,82,44,78,60,65,94,62,86,81,42,66,32,82,83,89,87
85,81,83,49,83,77,89,83,79,77,86,88,79,85,81,91,84,64,80,81,83,79,34,82,87,74,89,34,42,30
85,78,86,42,82,83,87,74,62,75,82,85,79,85,82,88,87,55,76,69,82,63,38,86,82,68,82,45,44,43
85,78,81,50,88,75,85,86,80,85,90,66,63,77,86,77,79,61,74,73,81,70,75,83,86,80,87,76,75,67
85,77,51,74,80,57,79,76,71,81,81,87,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,76,84,83
85,72,87,76,78,82,78,80,76,64,81,85,89,77,84,67,82,75,74,74,79,43,48,88,74,82,83,20,29,36
85,86,73,70,86,75,79,82,63,81,84,86,83,87,79,84,64,80,83,61,66,75,80,83,78,59,80,74,78,79
85,62,67,68,87,50,80,66,68,85,85,40,43,66,81,50,61,66,75,70,54,79,84,76,83,60,90,83,83,82
85,80,90,76,79,84,87,79,83,73,86,78,85,87,84,72,79,66,70,60,80,63,39,86,81,82,85,39,21,18
85,73,74,74,87,84,89,85,82,92,87,60,72,71,77,65,90,80,65,88,84,79,62,77,90,80,85,53,67,63
85,84,84,65,81,75,87,85,83,76,87,82,84,80,84,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20
85,75,64,56,92,71,79,75,76,89,87,63,47,75,82,72,71,58,87,66,62,79,81,69,88,89,84,67,81,71
85,87,66,60,84,68,87,88,75,78,88,77,76,83,84,90,82,63,91,80,81,84,80,81,82,76,87,81,85,84
85,77,89,82,79,81,85,77,62,75,84,78,78,77,85,72,83,79,77,74,82,61,42,85,78,85,80,44,41,41
85,81,81,53,80,74,90,87,80,74,86,89,89,87,81,71,85,71,79,61,82,65,47,82,80,81,84,44,64,60
85,92,76,59,80,75,84,83,80,77,82,87,82,76,82,79,86,67,90,77,78,80,63,79,81,66,82,69,72,68
85,69,90,78,74,85,76,69,61,60,83,85,84,74,88,75,87,80,73,65,65,86,49,90,74,85,86,45,52,54
85,68,68,50,87,56,87,79,62,85,88,82,76,88,85,90,66,65,88,70,67,62,72,77,88,53,87,68,73,63
85,76,79,47,85,59,87,73,68,81,91,86,78,91,83,91,82,49,83,47,77,64,59,82,85,64,84,58,59,47
85,52,50,85,75,45,65,48,55,67,73,69,79,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,86,85
85,64,87,86,78,80,83,78,56,64,85,74,82,83,82,67,82,75,69,83,80,65,25,86,74,67,84,44,24,19
85,84,69,74,79,66,83,69,64,68,79,92,94,78,85,76,83,68,90,81,72,82,78,80,73,50,80,74,81,80
85,73,86,84,77,79,85,77,58,72,84,88,82,86,87,85,85,81,83,71,75,85,56,89,77,69,80,53,57,45
85,84,84,44,85,87,86,88,85,79,86,75,66,83,86,81,86,68,72,66,81,51,56,84,86,79,86,59,47,59
84,78,53,82,77,46,65,59,39,63,76,77,77,70,85,72,62,86,76,78,51,90,83,62,63,42,77,85,85,83
84,63,65,88,78,69,63,72,75,80,78,66,56,66,85,65,79,91,56,81,64,90,84,69,71,90,86,82,82,83
84,83,77,38,83,72,84,85,79,78,85,90,83,91,80,93,79,67,71,44,82,56,40,78,85,72,85,50,30,34
84,73,84,40,84,70,88,82,82,72,88,82,74,85,80,92,80,58,65,37,82,59,36,82,84,79,81,23,40,40
84,75,87,84,78,88,76,85,81,73,81,73,68,70,86,77,86,69,71,84,84,87,39,90,80,82,86,41,45,38
84,88,83,66,87,80,84,85,79,80,87,68,68,73,84,84,79,59,88,81,77,56,41,85,88,84,87,51,34,26
84,77,82,62,85,78,85,78,75,79,88,82,82,92,84,87,83,65,74,64,80,85,26,82,83,76,78,42,30,30
84,74,66,68,85,56,84,69,70,85,83,61,68,67,82,50,86,83,82,84,78,84,81,70,85,49,86,80,84,80
84,80,75,53,87,74,86,85,85,84,88,72,62,83,84,79,85,45,78,55,87,73,76,79,86,81,83,69,68,63
84,73,61,42,90,76,89,79,70,84,89,77,65,86,82,84,79,75,79,65,75,77,75,73,86,59,84,73,76,68
84,82,76,36,84,72,88,78,74,81,87,78,75,84,81,84,76,32,80,70,79,60,44,81,86,58,88,48,49,43
84,82,51,70,82,49,78,76,47,74,83,80,84,78,79,82,68,77,85,74,47,85,78,75,72,45,80,76,81,82
84,36,34,84,73,27,47,34,30,72,67,60,68,58,82,52,43,86,69,83,31,86,87,29,55,37,80,90,86,83
84,42,46,85,78,42,61,46,52,77,75,77,84,62,82,39,52,80,67,87,53,78,84,55,59,43,82,85,86,83
84,74,87,74,83,85,87,82,76,66,88,82,81,91,85,91,84,77,72,68,74,62,44,89,80,85,85,34,33,26
84,76,76,59,84,76,90,89,86,86,90,87,81,90,77,94,76,48,74,35,81,34,26,80,87,87,81,53,24,22
84,65,57,86,81,64,69,66,53,85,78,45,60,60,86,62,71,70,66,87,49,71,87,57,80,68,89,88,86,85
84,49,25,84,75,27,66,45,36,71,73,66,69,61,85,59,65,80,80,79,60,77,87,31,70,41,85,88,87,85
84,54,36,84,80,50,74,63,23,74,74,53,67,55,86,42,66,78,67,82,48,84,86,48,72,42,80,88,88,82
84,81,78,50,84,67,82,85,84,86,83,84,82,83,84,81,78,39,80,71,84,68,77,84,90,80,80,64,74,62
84,81,79,43,85,75,87,84,79,74,87,84,78,91,81,94,73,72,77,49,78,66,45,82,84,64,84,58,55,38
84,86,54,79,82,58,74,86,84,80,82,74,66,66,83,79,79,78,86,64,70,73,81,76,80,66,78,79,81,81
84,44,50,83,81,58,69,56,60,81,79,53,55,55,81,53,74,90,63,82,65,82,86,38,71,74,86,87,84,80
84,85,76,51,82,78,88,92,88,80,87,80,78,91,83,75,83,70,74,61,84,73,42,82,87,73,86,41,55,52
84,77,78,61,85,82,89,83,79,81,87,84,82,85,77,89,82,55,74,61,77,54,41,83,84,87,88,34,27,22
84,85,80,80,79,81,83,78,75,79,82,79,78,76,85,75,84,87,84,80,78,65,72,85,76,76,88,80,70,68
84,63,87,85,76,79,77,65,54,76,84,61,65,62,83,55,86,64,69,86,77,58,50,90,74,67,87,54,28,16
84,63,33,77,65,45,57,60,31,66,55,66,65,53,78,57,78,90,63,91,49,87,87,28,50,50,83,84,88,84
84,78,76,58,85,71,82,84,76,85,85,80,76,78,81,80,80,68,91,80,78,76,79,78,86,66,81,71,81,75
84,66,77,67,84,71,85,68,49,82,84,78,73,81,84,79,78,76,89,74,74,85,80,77,84,56,79,79,78,76
84,75,80,50,78,80,89,78,62,72,82,91,91,88,86,81,86,53,85,70,84,69,30,84,77,62,81,65,44,44
84,76,80,28,80,67,88,71,42,73,85,95,92,92,76,93,73,62,82,44,64,67,48,79,77,50,75,48,35,46
84,74,86,72,83,83,88,77,90,77,85,81,85,81,81,77,90,66,78,79,85,58,27,84,81,89,84,22,28,17
84,75,80,63,76,74,89,80,60,63,86,90,92,82,83,80,80,62,77,80,72,60,24,82,74,63,81,22,24,21
84,45,47,80,81,32,72,42,26,75,74,85,83,71,85,74,48,88,76,80,40,75,86,47,62,43,82,85,85,83
84,82,74,67,89,79,81,84,78,88,85,58,54,67,84,77,87,68,85,69,87,69,71,80,87,77,85,69,73,68
84,78,69,70,84,68,75,75,81,81,83,78,83,81,82,83,79,65,85,81,81,84,81,75,78,64,84,81,81,75
84,76,80,62,76,74,89,75,58,71,87,92,91,88,83,75,84,73,84,69,82,70,25,81,77,63,83,28,38,34
84,69,48,82,79,34,70,60,40,76,74,83,88,70,85,62,62,85,86,79,42,84,86,64,59,60,74,85,86,84
84,70,69,59,86,70,78,70,66,85,83,82,91,76,84,68,83,62,86,79,81,81,81,78,81,59,82,79,81,79
84,82,80,72,82,84,86,84,83,70,85,89,88,87,82,81,86,64,70,66,80,63,34,81,81,71,82,36,32,35
84,88,66,71,82,62,83,82,76,78,81,79,83,75,81,88,83,75,83,85,69,74,78,77,80,52,82,81,83,79
84,70,26,82,78,35,70,53,36,78,76,68,77,58,86,57,49,75,81,82,37,84,85,39,57,47,82,87,87,82
84,74,81,80,84,80,85,84,53,79,85,76,85,77,84,75,74,75,77,69,78,42,38,82,82,73,84,39,46,38
84,77,79,69,83,83,89,83,67,76,88,84,83,88,83,84,80,76,75,62,81,68,40,85,86,68,86,30,42,35
84,84,75,68,81,74,79,77,74,73,82,91,93,82,81,78,80,79,92,72,73,75,78,78,77,60,72,75,76,76
84,85,64,72,82,59,87,72,44,67,84,96,93,86,84,84,74,78,81,75,63,77,78,77,77,60,78,76,77,71
84,55,61,72,83,50,78,58,58,84,79,68,74,55,81,67,74,74,90,79,65,84,85,58,79,71,83,82,84,80
84,83,81,59,87,75,82,82,84,84,85,76,72,77,84,76,81,54,86,58,83,68,59,82,83,69,84,55,57,41
84,80,77,38,86,83,91,84,65,70,88,84,78,90,81,89,71,51,66,62,65,44,39,81,85,74,85,32,39,32
84,56,33,83,73,32,61,38,40,65,66,80,90,74,84,71,56,83,73,84,45,83,85,37,48,27,81,86,89,82
84,66,73,68,83,60,78,61,54,75,84,77,79,70,81,77,84,72,93,86,78,84,84,74,76,88,84,85,84,78
84,81,85,60,82,74,84,77,78,73,85,80,78,79,80,80,80,72,79,57,81,52,29,85,82,84,83,55,32,30
84,74,77,74,88,74,82,74,79,85,87,79,79,80,85,82,79,70,90,74,76,74,72,80,87,82,84,73,76,73
84,53,50,70,78,68,72,60,60,75,77,64,68,63,87,66,80,89,89,78,69,88,88,64,62,57,80,86,88,84
84,74,80,67,86,66,82,75,63,81,84,85,90,82,85,68,84,69,90,77,77,82,81,84,84,65,83,79,79,74
84,84,75,52,88,76,85,83,85,84,85,78,75,85,74,83,76,46,79,56,77,63,65,79,86,63,78,65,49,51
84,57,88,77,73,78,80,69,59,59,85,77,82,61,85,52,84,68,79,88,82,60,24,88,68,73,80,19,26,24
83,35,32,79,76,34,65,47,71,74,71,77,76,62,84,50,73,82,68,87,57,85,83,52,63,41,75,84,80,81
83,88,70,65,81,63,84,83,76,81,84,85,72,85,82,85,80,72,85,60,69,77,80,79,79,55,81,77,74,80
83,85,75,43,78,76,89,82,64,76,85,94,93,90,78,81,83,58,68,51,76,54,36,77,81,75,80,42,30,33
83,81,78,57,81,79,83,84,76,82,87,83,81,80,78,76,86,58,75,63,85,45,45,80,80,62,82,40,42,39
83,80,65,53,88,82,75,85,81,88,82,63,54,68,80,72,85,66,79,67,82,83,80,62,87,76,86,77,79,76
83,77,79,86,84,58,83,80,69,82,85,73,73,75,84,72,84,81,84,79,78,81,84,78,81,60,80,80,84,76
83,78,69,69,83,60,79,70,47,78,80,82,85,76,80,74,72,73,90,69,68,87,86,73,78,54,81,83,80,75
83,59,33,80,80,33,63,50,32,75,78,79,80,68,80,59,70,79,79,88,37,90,84,47,64,52,79,81,86,84
83,72,79,67,85,67,85,75,61,80,88,67,56,71,81,67,77,46,90,67,85,68,76,81,84,67,85,70,78,75
83,78,63,72,82,50,77,72,45,79,76,91,92,81,82,79,69,79,90,83,64,82,79,80,75,49,78,77,81,80
83,83,74,64,83,76,85,86,78,82,83,90,87,86,84,71,82,69,88,68,78,62,40,82,83,77,81,24,35,33
83,74,83,78,78,78,87,76,54,66,85,87,82,91,85,87,84,79,82,69,77,75,32,86,77,75,78,45,30,28
83,62,88,80,72,76,78,63,48,53,80,86,93,78,84,68,79,90,81,85,72,69,34,85,69,75,79,36,43,19
83,68,68,65,83,64,78,70,74,81,80,56,54,65,84,67,85,65,87,79,80,87,82,68,73,56,84,83,84,72
83,42,48,83,74,52,59,54,38,64,68,75,72,67,82,68,51,85,74,82,36,90,82,43,41,40,80,86,86,85
83,79,77,45,76,72,87,81,79,74,84,90,91,88,83,79,83,74,86,65,79,76,55,82,77,78,80,47,54,38
83,77,78,56,85,66,80,80,85,84,81,78,82,76,83,73,77,58,84,71,76,65,74,78,85,86,76,67,79,68
83,55,28,85,80,41,64,45,28,76,79,70,76,68,80,52,58,80,80,82,40,79,83,42,67,42,73,84,85,83
83,83,82,60,76,75,86,78,76,68,84,86,87,81,81,71,86,75,79,77,83,60,39,81,79,68,78,43,38,28
83,58,56,85,76,38,55,47,45,66,66,68,84,56,81,55,61,87,74,86,35,84,81,56,59,43,76,82,84,84
83,63,66,52,83,67,76,73,72,81,78,53,62,63,83,66,86,61,86,79,70,95,79,72,83,64,81,82,84,85
83,47,87,83,75,79,79,55,62,57,84,77,79,67,82,58,86,80,78,95,69,72,20,86,66,75,82,44,24,22
83,75,86,71,80,80,87,82,65,67,87,86,85,90,84,88,83,49,83,70,86,79,48,86,82,66,77,42,53,44
83,47,37,82,70,33,54,36,44,67,66,70,71,52,78,56,73,90,70,86,48,88,84,25,46,38,75,87,85,85
83,82,77,54,84,77,88,85,81,80,86,84,81,90,82,85,79,68,80,56,79,63,78,81,85,69,80,55,77,69
83,46,49,86,69,38,62,42,24,69,65,77,78,66,79,66,68,82,70,82,36,82,84,58,45,43,74,83,85,83
83,84,70,68,81,70,90,82,69,73,85,91,89,93,82,81,84,80,78,66,80,78,73,75,72,65,74,75,80,82
83,73,75,52,85,75,87,80,65,81,87,83,79,85,81,79,79,52,79,57,83,56,75,80,84,58,75,69,72,71
83,88,63,73,83,75,80,82,51,79,82,87,84,82,84,84,74,63,80,37,70,75,80,81,83,56,82,82,77,79
83,57,65,83,80,57,63,58,43,82,80,48,62,56,80,34,62,73,61,83,51,79,83,66,72,69,86,82,84,82
83,82,73,64,85,71,78,80,74,87,83,66,66,66,85,67,77,78,86,78,75,83,81,78,80,64,80,77,81,76
83,62,54,74,86,56,71,65,53,80,78,62,67,70,82,62,76,76,81,81,68,84,84,62,79,54,78,83,84,82
83,83,70,53,89,81,84,82,77,84,86,69,55,80,82,89,72,58,65,45,71,56,50,84,89,75,90,58,53,29
83,83,82,83,81,85,84,86,85,80,85,79,80,90,85,83,82,88,85,64,81,73,49,88,85,79,89,43,54,50
83,69,75,49,91,76,82,86,79,89,90,55,54,68,75,83,78,53,68,64,75,29,59,76,92,56,80,58,58,52
83,73,76,78,84,79,87,81,65,76,88,75,74,84,85,86,77,81,87,74,76,75,58,82,83,72,88,55,64,42
83,62,52,84,83,44,72,52,37,75,83,68,76,66,82,59,55,83,73,78,44,80,83,52,67,52,80,84,85,82
83,88,73,52,86,74,83,90,78,89,84,78,74,83,83,78,83,33,78,58,80,73,51,81,88,67,79,44,57,41
83,85,69,61,86,56,77,84,77,84,81,72,69,72,84,81,81,59,91,75,75,78,82,76,83,67,85,81,82,70
83,82,66,68,82,59,81,78,52,77,83,83,76,76,82,79,74,75,76,69,64,79,79,77,77,61,81,81,84,83
82,81,76,35,84,73,85,86,84,83,86,77,69,84,78,83,83,51,76,53,80,68,44,81,85,74,84,59,65,42
82,76,79,69,84,79,85,79,78,66,85,75,67,84,84,86,82,72,76,69,80,73,21,82,82,89,81,35,20,26
82,78,74,46,77,68,86,78,56,62,85,92,91,90,83,89,75,64,77,40,71,47,58,80,81,59,81,52,47,39
82,78,64,71,77,60,76,69,69,71,77,85,85,78,80,78,72,83,90,76,69,75,79,70,66,59,77,80,80,75
82,70,69,68,85,64,78,68,64,83,82,62,63,69,83,60,77,65,90,78,80,72,79,73,82,60,77,80,82,75
82,82,79,82,80,71,80,69,58,77,81,79,84,71,84,66,76,90,86,76,68,80,77,86,60,55,77,75,78,79
82,81,82,75,70,75,84,76,70,69,82,85,87,84,81,75,87,63,72,72,88,64,50,79,76,69,78,24,34,30
82,35,32,83,78,33,60,37,27,68,66,59,73,48,77,40,60,70,78,92,26,79,81,33,56,38,74,83,84,81
82,51,36,80,80,25,67,41,39,73,76,59,76,61,84,60,37,79,68,77,20,75,85,32,62,36,79,85,84,83
82,64,75,82,83,71,83,77,64,83,79,67,89,72,82,75,85,87,88,86,81,88,84,75,79,68,80,79,84,85
82,74,81,77,80,76,83,84,85,78,84,84,76,87,79,75,84,66,82,76,86,67,52,83,77,75,77,45,55,42
82,79,78,52,85,79,86,77,65,81,86,66,67,84,82,83,81,62,80,68,79,39,58,80,84,54,83,44,45,48
82,69,78,75,78,82,82,70,58,55,83,93,88,79,85,76,85,75,81,64,77,63,37,87,68,78,79,39,20,19
82,79,61,58,79,58,79,80,49,75,80,81,85,82,83,80,62,53,87,67,59,76,80,75,75,52,76,79,81,82
82,79,68,57,81,66,86,80,72,78,85,81,76,85,82,83,72,54,86,62,67,80,62,77,83,72,81,66,67,52
82,82,52,66,83,61,83,85,81,79,83,86,87,84,83,86,79,64,90,63,79,69,79,77,78,54,83,71,76,74
82,86,77,44,88,79,87,85,82,85,87,83,67,90,86,90,78,52,74,50,80,45,83,79,85,54,86,79,75,76
82,68,55,82,78,53,61,44,42,78,75,54,64,55,85,49,79,77,75,84,46,72,83,55,72,67,76,85,86,78
82,42,83,86,76,83,74,57,46,51,78,56,73,66,82,52,83,82,73,92,65,67,36,87,72,88,82,40,61,56
82,72,35,83,84,37,48,53,41,65,78,61,67,59,84,56,44,86,71,78,42,83,82,38,32,43,77,81,83,82
82,53,85,86,77,80,80,55,55,53,82,80,85,61,84,53,80,73,79,85,71,68,25,83,73,79,82,40,29,20
82,72,63,62,85,64,86,73,73,83,85,81,73,87,83,89,75,78,82,69,74,86,81,66,81,68,80,76,80,76
82,79,83,80,77,90,84,72,73,69,82,85,82,82,81,71,85,80,83,76,81,63,20,84,75,82,80,16,29,21
82,77,78,39,82,68,86,76,54,82,88,76,79,85,80,82,67,52,79,50,70,63,45,78,85,60,80,55,57,44
82,79,76,45,75,67,85,80,74,62,88,95,91,92,75,85,73,57,79,62,76,76,39,76,79,66,80,46,37,21
82,67,83,76,69,78,76,75,61,60,77,91,88,78,84,67,86,76,89,88,75,78,41,84,71,78,83,36,39,33
82,48,49,85,77,51,72,49,35,79,71,77,76,68,81,66,75,77,73,81,60,79,82,56,67,38,76,83,87,80
82,81,77,45,80,70,84,80,69,65,82,87,82,83,82,83,72,54,80,58,69,66,68,82,81,70,79,65,69,67
82,78,74,43,84,76,86,72,75,79,86,77,58,86,83,86,79,55,77,54,77,51,57,82,83,66,82,50,50,44
82,68,67,74,85,50,78,76,53,84,80,68,71,73,83,70,78,74,84,82,75,82,85,75,82,55,83,81,83,78
82,79,80,75,81,74,84,76,60,78,84,87,81,83,82,78,79,75,73,69,76,54,34,86,82,74,82,35,24,28
82,79,69,65,83,56,83,69,42,76,84,83,84,86,78,69,68,69,88,70,61,69,80,84,77,44,79,75,78,80
82,77,85,49,79,58,83,79,59,66,82,85,90,84,79,76,81,67,76,70,78,55,32,81,78,75,77,35,52,47
82,72,79,68,82,74,88,77,74,78,86,71,73,75,81,77,77,78,81,77,77,76,71,80,82,75,88,67,72,63
82,77,67,84,76,38,72,69,35,71,75,78,87,69,82,60,68,90,92,89,54,83,78,74,59,48,74,76,79,77
82,79,74,74,85,70,83,85,86,81,86,76,76,69,79,73,92,74,82,81,88,78,66,80,83,84,75,55,72,50
82,73,81,80,81,80,82,75,51,75,80,66,79,72,82,65,84,74,79,85,74,82,53,82,78,92,81,45,38,30
82,40,38,83,74,44,56,45,49,61,70,80,76,76,85,57,53,73,77,76,41,88,84,38,42,56,71,85,87,82
82,84,58,69,80,65,79,71,67,74,81,77,75,69,81,72,74,86,86,69,47,73,76,78,75,52,75,78,80,82
82,60,84,85,79,84,82,77,39,63,84,76,73,77,85,75,83,88,79,77,78,75,59,84,74,84,84,36,40,34
82,74,74,50,77,70,88,70,58,59,85,91,84,87,78,88,77,79,76,54,57,45,33,79,80,61,80,38,32,47
82,75,69,60,86,74,83,84,65,85,84,81,83,81,77,75,83,60,86,75,78,76,75,75,84,60,85,76,77,75
82,39,38,85,71,31,52,28,32,58,58,50,63,48,77,56,37,91,68,85,29,83,82,42,44,41,72,85,85,81
82,60,60,69,80,36,76,60,66,76,79,69,66,78,81,81,82,83,85,68,72,83,86,72,70,55,79,82,87,83
82,71,84,82,77,87,75,79,74,72,85,55,61,67,77,51,86,77,34,85,85,84,20,88,83,80,90,28,37,24
82,53,42,81,75,37,48,72,55,83,74,70,71,67,81,60,81,91,69,82,74,86,83,52,55,39,70,82,82,84
82,84,77,59,87,81,79,88,82,86,84,55,52,68,80,58,85,33,73,70,79,67,79,79,85,82,80,76,78,74
82,85,75,59,83,76,84,83,81,80,85,71,69,81,79,74,82,34,67,71,80,54,37,82,87,81,83,38,37,39
82,64,86,91,78,86,69,71,65,60,85,41,43,54,84,53,86,82,55,90,69,76,42,87,78,90,85,37,37,20
82,50,55,80,75,37,52,52,66,70,69,55,68,55,78,55,74,77,63,83,41,83,84,31,55,61,70,86,84,78
82,83,61,74,80,63,72,80,55,72,79,79,83,80,80,79,82,87,84,79,76,85,82,62,71,59,78,80,80,76
82,64,45,81,77,38,62,63,59,81,74,53,60,54,85,62,78,81,72,76,58,77,83,52,62,58,86,85,87,82
82,77,81,79,81,79,77,79,72,74,84,76,79,70,79,77,84,77,77,87,82,77,38,79,81,79,79,40,42,39
82,80,46,78,79,51,68,68,58,79,77,68,61,67,86,73,68,83,76,70,60,87,83,62,72,66,78,85,85,84
